品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
苹果（Apple）,A1524,5588.00,2014年,,苹果（IOS）,IOS,苹果,,,,16GB ROM,,,5.5英寸,"1920×1080(FHD,1080P)",800万像素,120万像素,http://item.jd.com/1953969194.html,Apple iPhone6Plus（A1524）港版 移动联通4G 深空灰色 64GB,量子科技专营店,15
﻿苹果（Apple）,A1687,5488.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM,,,5.5英寸,"1920×1080(FHD,1080P)",1200万像素,500万像素,http://item.jd.com/1955792693.html,Apple iPhone 6S plus(A1687)  港行 苹果手机 玫瑰金 16G,香港智诚博扬专营店,22
苹果（Apple）,A1687,5388.00,2015年,,苹果（IOS）,IOS,苹果,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",1200万像素,500万像素,http://item.jd.com/1954424272.html,Apple iPhone6s plus(A1687)  港版 苹果手机 移动联通4G 银色 16G,FUSTAR数码专营店,95
苹果（Apple）,A1524,4868.00,2014年,,,其他,苹果,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",800万像素,120万像素,http://item.jd.com/1956139721.html,Apple iPhone6 plus(A1524) 港版 移动联通4G手机 金色 16G,FUSTAR数码专营店,4
Apple,iPhone 6S,4888.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867009.html,【联通0元购机】Apple iPhone 6s 16G 深空灰 移动联通电信4G手机,,100
苹果（Apple）,A1688,4688.00,2015年,,苹果（IOS）,IOS,苹果,,,,其它,,,4.7英寸,1334×750,1200万像素,500万像素,http://item.jd.com/1956466459.html,Apple iPhone6s (A1688)  港版 苹果手机 移动联通4G 金色 16G,FUSTAR数码专营店,14
,6s,4788.00,其它,,,IOS,苹果,,,,其它,,,4.7英寸,"1920×1080(FHD,1080P)",1200万像素,500万像素,http://item.jd.com/1958344199.html,全球购 亚太版 苹果 iPhone 6s 移动 联通 电信 全网通4G智能手机 金色 16GB 质保一年只换新,GIT通讯数码旗舰店,8
苹果（Apple）,iPhone6s,5788.00,2015年,,,IOS,其他,,,,其它,,,5.5英寸,1334×750,1200万像素,500万像素,http://item.jd.com/1954084916.html,全球购 美版行货 Apple iPhone6s plus 移动联通电信 全网通 4G手机 深空灰 64GB 质保180天只换新,GIT通讯数码旗舰店,191
苹果（Apple）,6s,5488.00,2016年,,苹果（IOS）,IOS,苹果,,,,16GB ROM,,,4.7英寸,1334×750,1200万像素,500万像素,http://item.jd.com/1959671483.html,全球购 Apple iphone 6S  纯正美版 苹果手机 三网通4G智能手机 玫瑰金色 64G,香港智诚博扬专营店,1
,A1530,2249.00,2013年,9月,,其他,苹果,,,,其它,,,4.0英寸,1136×640,800万像素,130万以下,http://item.jd.com/1954732553.html,Apple iPhone5s (A1530) 亚洲版 移动联通 4G手机 金色 16G,FUSTAR数码专营店,71
Apple,iPhone 6S Plus,5588.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,5.5英寸,1920 x 1080,1200万像素,500万像素,http://item.jd.com/1867687.html,【联通0元购机】Apple iPhone 6s Plus 16G 金色 移动联通电信4G手机,,118
,6,3888.00,2014年,,,IOS,苹果,,,,其它,,,4.7英寸,1334×750,800万像素,120万像素,http://item.jd.com/1957114580.html,全球购 海外版 苹果 iPhone6 智能手机 无锁 全新 未激活 双4G 金色 16GB 质保180天只换新,GIT通讯数码旗舰店,10
,5S,2199.00,2013年,,,IOS,苹果,,,,其它,,,4.0英寸,1136×640,800万像素,130万像素,http://item.jd.com/1956903875.html,Apple iPhone5s (A1530) 港版 移动联通 4G手机 金色 16G,FUSTAR数码专营店,5
,,60.00,,,,,,,,,,,,,,,,http://item.jd.com/2150897.html,4G白卡（仅限天津使用），短信写卡，不用换号，尊享4G网络和服务,,1858
苹果（Apple）,iPhone 6 Plus A1593,5588.00,2014年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间约55.3GB),,,5.5英寸,1920 x 1080,800万像素,120万像素,http://item.jd.com/1219059.html,【移动购机赠费】Apple iPhone 6 Plus (A1593) 64GB 深空灰色 移动4G手机,中国移动官方旗舰店,368
Apple,iPhone 6S,4888.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867027.html,【联通0元购机】Apple iPhone 6s 16G 银色 移动联通电信4G手机,,159
苹果（Apple）,iPhone 6S,4987.00,2015年,,,IOS,苹果,,,,16GB ROM,,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/2145649.html,Apple iPhone 6s (A1700) 16G 玫瑰金色 移动联通电信4G手机+dostyle蓝牙耳机套装,京东Apple产品专营店,104358
APPLE,A1524,4355.00,2014年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM,,,5.5英寸,"1920×1080(FHD,1080P)",800万像素,120万像素,http://item.jd.com/1954125273.html,【eBay精选】苹果Apple iPhone 6 Plus (A1524) 16GB 灰色,imobileru,3
苹果（Apple）,watch,4288.00,2015年,,,IOS,其他,,,,其它,,,其它,其它,其他,其它,http://item.jd.com/1954352618.html,全球购 亚太版 苹果 Apple Watch 42毫米 白色运动 MJ3V2ZP/A 标准版 质保180天只换新+官方保修一年,GIT通讯数码旗舰店,3
,watch,5188.00,2015年,,,IOS,其他,,,,其它,,,其它,其它,其他,其它,http://item.jd.com/1955380478.html,全球购 亚太版 苹果（Apple）Watch 42毫米 黑色经典扣式 MJ3X2ZP/A 标准版 质保180天只换新+官方一年保修,GIT通讯数码旗舰店,1
,,6860.00,,,,,,,,,,,,,,,,http://item.jd.com/1957502921.html,【eBay精选】苹果/Apple Iphone6S Plus 16/64GB玫瑰金4G手机 64G,ofertas_net,0
苹果（Apple）,6s,5388.00,2016年,,苹果（IOS）,IOS,苹果,,,,16GB ROM,,,4.7英寸,1334×750,1200万像素,500万像素,http://item.jd.com/1961714300.html,全球购 Apple iphone 6S  新加坡版 苹果手机 移动联通双4G智能手机 银色 64G,香港智诚博扬专营店,0
苹果（Apple）,6S,4888.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,32GB ROM,,,其它,1334×750,1200万像素,500万像素,http://item.jd.com/1961772928.html,Apple/苹果 iPhone6s（A1688）港版 移动联通4G 银色 16G,surepromise手机海外旗舰店,0
