
巴博斯 SLK级	88.00万元
巴博斯 M级	125.80万元
巴博斯 S级	156.80万元

----------- 北汽制造 -----------
BJ212	5.68万元
战旗	6.82万元
勇士	20.80万元
角斗士	6.46万元
北京·BW007	10.78万元
陆霸	17.28万元
骑士	9.38万元
锐铃	12.28万元
陆铃	6.48万元
越铃	6.48万元

----------- 北汽威旺 -----------
威旺M20	4.68万元
威旺M30	4.58万元
威旺S50	10.88万元
威旺M35	6.13万元
威旺306	4.58万元
威旺307	5.08万元
威旺007	10.98万元
威旺205	4.08万元

----------- 北汽绅宝 -----------
绅宝X25	5.98万元
绅宝X35	8.48万元
绅宝X55	10.88万元
绅宝X65	14.98万元
绅宝D50	9.68万元
绅宝D20两厢	5.68万元
绅宝D70	13.98万元
绅宝CC	9.98万元
绅宝D20三厢	8.28万元
绅宝D80	26.88万元
绅宝D60	12.98万元
绅宝D20 CROSS	6.18万元

----------- 北汽幻速 -----------
幻速S6	11.68万元
幻速S3	6.68万元
幻速H2	4.68万元
幻速S2	6.08万元
幻速H3	5.58万元

----------- 北汽新能源 -----------
北汽EV200	20.89万元
北汽EX200	21.69万元
北汽EU260	25.69万元
北汽E150 EV	23.08万元
北汽EV160	18.99万元
北汽ES210	34.69万元

----------- 宝沃 -----------
BX7	30.28万元

----------- 昌河 -----------
昌河Q25	7.59万元
福瑞达M50	4.78万元
福瑞达	3.60万元

----------- 长安汽车 -----------
长安CS75	14.48万元
长安CS15	6.89万元
长安CS35	9.69万元
逸动	8.69万元
逸动XT	11.99万元
悦翔V7	6.39万元
奔奔	6.09万元
悦翔V3	5.39万元
睿骋	17.08万元
长安CX20	6.58万元
奔奔MINI	4.99万元
逸动EV	24.99万元

----------- 长城 -----------
长城M4	7.79万元
长城C30	7.19万元
风骏5	7.68万元
长城C50	8.59万元
风骏6	10.98万元
长城M2	7.49万元
长城C20R	6.59万元

----------- 长安商用 -----------
长安CX70	8.49万元
欧尚	5.19万元
长安欧诺	4.79万元
长安之星	3.39万元
欧力威X6	6.89万元
欧力威	3.98万元
神骐F30	5.79万元
睿行	6.49万元
长安之星3	3.99万元
长安星卡	4.24万元
睿行M90	7.89万元
神骐T20	4.50万元
长安之星7	4.39万元
长安星光	5.49万元
长安小卡	2.30万元
长安之星9	5.15万元
尊行	21.98万元
神骐F50	7.09万元

----------- 成功汽车 -----------
成功X1	6.80万元
成功V2	4.18万元
成功K1	3.98万元
成功K2	4.09万元
成功V1	4.00万元

----------- 大众 -----------
速腾	16.38万元
帕萨特	33.29万元
途观	31.58万元
迈腾	22.48万元
凌渡	21.39万元
高尔夫	15.79万元
朗逸	15.59万元
Polo两厢	11.59万元
高尔夫·嘉旅	18.49万元
宝来	14.48万元
捷达	10.76万元
途安L	19.98万元
途锐	83.80万元
大众CC	27.08万元
途安	19.68万元
夏朗	29.12万元
桑塔纳·浩纳	13.29万元
桑塔纳	12.38万元
高尔夫GTI	23.99万元
甲壳虫	25.79万元
蔚揽	42.98万元
Golf敞篷	34.98万元
朗行	16.29万元
Golf R	40.78万元
迈腾旅行轿车	41.60万元
Golf旅行轿车	23.08万元
尚酷	24.78万元
朗境	14.89万元
迈特威	51.67万元
Tiguan	39.98万元
尚酷R	39.08万元
Cross Polo	11.79万元
Polo GTI	14.69万元
甲壳虫敞篷	28.80万元
凯路威	39.80万元
Golf R 旅行轿车	41.38万元
up!	12.99万元
Golf GTE	28.88万元
electric up!	26.88万元
Sportsvan(进口)	25.12万元

----------- 道奇 -----------
酷威	29.99万元
Ram	69.00万元

----------- 东风 -----------
帅客	9.18万元
锐骐皮卡	9.78万元
御风	22.27万元
御轩	19.28万元
奥丁	13.68万元
俊风	4.55万元
锐骐厢式车	12.48万元

----------- 东南 -----------
东南DX7	11.39万元
V3菱悦	6.79万元
V5菱致	8.09万元
V5 plus	8.39万元
V cross	7.99万元
希旺	4.98万元
得利卡	10.98万元

----------- 东风风神 -----------
风神AX7	14.17万元
风神AX3	8.77万元
东风A9	17.97万元
风神A60	7.78万元
风神A30	5.97万元
风神S30	6.28万元
风神L60	8.97万元
风神CROSS	8.28万元
风神E30	15.98万元

----------- DS -----------
DS 6	19.39万元
DS 4S	22.99万元
DS 5LS	24.68万元
DS 5	21.99万元
DS 3	24.98万元
DS 4	27.28万元

----------- 东风小康 -----------
东风小康K07S	3.19万元
东风小康C37	5.18万元
东风小康K01	3.09万元
东风小康C32	4.19万元
东风小康K02	3.39万元
东风小康C31	3.89万元

----------- 东风风行 -----------
菱智	7.89万元
风行S500	9.79万元
风行CM7	14.99万元
景逸X5	9.99万元
景逸X3	7.39万元
风行F600	12.29万元
景逸XV	8.69万元
景逸S50	8.49万元
景逸	7.09万元

----------- 东风风度 -----------
MX6	16.98万元

----------- 东风风光 -----------
风光360	6.09万元
风光370	6.99万元
风光330	3.68万元

----------- 菲亚特 -----------
菲翔	16.88万元
致悦	16.88万元
菲亚特500	26.88万元
菲亚特500C	26.18万元
菲跃	29.88万元

----------- 福特 -----------
锐界	33.98万元
翼虎	27.58万元
新蒙迪欧	26.58万元
金牛座	24.88万元
福睿斯	10.78万元
野马	76.40万元
新福克斯两厢	13.68万元
探险者	59.98万元
撼路者	31.88万元
新福克斯三厢	13.68万元
翼搏	12.78万元
福特F-150	51.60万元
途睿欧	20.39万元
福克斯RS	39.90万元
嘉年华两厢	12.29万元
福特F-650 	260.00万元
福克斯ST	25.98万元
锐界(进口)	35.68万元
福特E	156.00万元
新世代全顺	24.40万元
经典福克斯两厢	12.38万元
致胜	19.48万元
嘉年华三厢	11.19万元
经典全顺	13.83万元
嘉年华ST	18.59万元
福特F-350	118.00万元
福特F-250	96.00万元

----------- 丰田 -----------
卡罗拉	13.48万元
普拉多	62.53万元
汉兰达	42.28万元
卡罗拉 双擎	13.98万元
丰田RAV4	27.28万元
雷凌	14.98万元
锐志	31.48万元
YARiS L 致炫	9.88万元
兰德酷路泽	119.40万元
凯美瑞	28.98万元
雷凌 双擎	15.48万元
皇冠	28.48万元
威驰	8.98万元
普拉多(进口)	48.90万元
凯美瑞 双擎	32.98万元
丰田86	27.96万元
埃尔法	75.90万元
花冠	10.88万元
普瑞维亚	61.00万元
兰德酷路泽(进口)	79.90万元
塞纳	60.80万元
红杉	129.80万元
FJ酷路泽	54.30万元
坦途	40.80万元
逸致	18.98万元
普锐斯	23.98万元
逸致跨界车	16.28万元
Venza威飒	40.88万元
杰路驰	28.00万元
考斯特	121.00万元
HIACE	53.30万元
柯斯达	57.68万元

----------- 法拉利 -----------
法拉利488	388.80万元
LaFerrari 	2250.00万元
F12berlinetta	530.80万元
法拉利458	448.00万元
California	308.80万元
法拉利FF	530.80万元

----------- 福田 -----------
萨瓦纳	15.78万元
伽途ix7	6.79万元
图雅诺	16.98万元
拓陆者 	13.04万元
伽途ix5	5.89万元
蒙派克E	18.80万元
萨普	10.89万元
风景G7	6.78万元
风景	7.80万元
伽途V3	4.03万元
迷迪	6.67万元
蒙派克S	16.70万元
伽途V5	4.41万元

----------- 福迪 -----------
探索者6	10.98万元
揽福	14.88万元
雄师F22	13.38万元
探索者III	9.38万元
雄师F16	9.68万元
雄狮	7.38万元

----------- 福汽启腾 -----------
启腾EX80	4.29万元
启腾M70	3.59万元

----------- 广汽吉奥 -----------
GX6	14.68万元
星朗	7.43万元
奥轩GX5	15.18万元
E美	9.68万元
GP150	11.28万元
星旺	2.78万元
财运300	6.39万元
星旺CL	4.58万元
财运100	5.78万元
财运500	9.98万元
星旺L	3.48万元

----------- 广汽传祺 -----------
传祺GS4	10.68万元
传祺GS5 Super	23.18万元
传祺GA6	16.38万元
传祺GA8	20.98万元
传祺GS5	15.68万元
传祺GA3S 视界	11.98万元
传祺GA5	11.68万元
传祺GA3	9.08万元
传祺GA5 PHEV	21.93万元

----------- GMC -----------
Savana	112.00万元
GMC3500	69.80万元

----------- 观致 -----------
观致5 SUV	18.49万元
观致3都市SUV	17.99万元
观致3五门	17.19万元
观致3轿车	17.79万元

----------- 哈飞 -----------
赛马	6.28万元
路宝	3.34万元
赛豹	7.23万元
路尊小霸王	2.98万元
民意	3.49万元
骏意	4.24万元
中意V5	4.37万元

----------- 海马 -----------
海马S5	9.98万元
海马V70	9.89万元
海马M3	8.18万元
海马S7	8.98万元
海马M6	7.98万元
福美来	8.49万元
普力马	10.98万元
丘比特	6.39万元
海马M8	10.68万元
经典福美来	6.48万元
海马骑士	10.58万元
普力马 EV	21.68万元
