品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
中兴（ZTE）,ZTEU288,188.00,2015年,,,无,其他,,,,无,32MB RAM,16GB,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10184253759.html,中兴（ZTE）U288+ 移动2G/联通2G 老人手机 黑色,顶魁手机专营店,274
中兴（ZTE）,L588,299.00,2015年,9月,,无,其他,,,,其它,64MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1724890376.html,中兴（ZTE）L588 移动/联通2G 双卡双待 翻盖老人手机 红色 老年版,君可安手机专营店,2093
中兴（ZTE）,CV18,299.00,2015年,5月,,其他,其他,,,,512MB ROM,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10031884801.html,中兴（ZTE）C V18 电信3G 老人手机 黑色,ZTE中兴手机专营店,2752
,c880s,799.00,2015年,,安卓（Android）,Android ,联发科（MTK),,四核,,8GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/10165270799.html,中兴小鲜3 C880S 全网通4G 双卡双待 手机 金色,天探手机专营店,169
,L518,299.00,2016年,1月,,无,其他,,,,32MB,,16GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/10117434179.html,中兴（ZTE）L518 移动/联通2G 翻盖男女款老人手机 儒雅黑,豪泰手机专营店,1236
中兴（ZTE）,V18,299.00,2015年,7月,,无,其他,,,,512MB ROM,,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10033617653.html,中兴（ZTE）C V18 电信3G老人手机 黑色,东旭优品手机专营店,2423
中兴（ZTE）,N939Sc,358.00,2015年,,安卓（Android）,Android ,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,其它,500万像素,200万像素,http://item.jd.com/1777698754.html,中兴（ZTE）威武3C 移动4G手机 白色 标配版,佳沪数码手机旗舰店,547
中兴（ZTE）,L788,269.00,2016年,4月,,其他,其他,,,,32MB,,16GB,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/10295318221.html,中兴（ZTE）L788  移动/联通2G 老人手机 黑色 老年版,ZTE中兴伟业专卖店,179
,Q2S-T,439.00,2015年,,,Android ,Qualcomm 骁龙,,,,8GB ROM,1GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2866794.html,中兴（ZTE）Q2S-T 白色 移动4G手机,中兴手机旗舰店,40
中兴（ZTE）,N939Sc,836.00,2015年,7月,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10118673732.html,中兴 威武3尊享版 全网通4G手机 金色,牧申数码专营店,213
