品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
小米（MI）,红米Noted电信4G增强版,799.00,2015年,8月,安卓（Android）,Android ,Qualcomm 骁龙,,四核,Adreno 306,16GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1514811.html,小米 红米Note 增强版 白色 电信4G手机 双卡双待,小米官方旗舰店,92434
小米（MI）,3,999.00,2015年,,,Android ,Qualcomm 骁龙,,八核,,其它,,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10242762986.html,小米 红米3 4G智能手机 双卡双待 金色(指纹版) 高配版全网通(3G RAM+32G ROM)标配,鹏路网络手机专营店,1632
小米（MI）,5,2949.00,2016年,2月,安卓（Android）,其他,Qualcomm 骁龙,,四核,,其它,,,5.15英寸,"1920×1080(FHD,1080P)",1600万像素,400万像素,http://item.jd.com/10136675577.html,小米（MI）小米5 全网通4G手机 双卡双待 白色 尊享版(4G RAM+128G ROM)标配,河北启迪手机专营店,1178
小米（MI）,note3,1199.00,2015年,,安卓（Android）,其他,其他,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",其他,500万像素,http://item.jd.com/10048976875.html,小米（MI）红米note3 双卡双待 智能 手机 金色 公开高配版(3G RAM+32G ROM)标配,中恒国信手机旗舰店,15185
小米（MI）,XIAOMI5,2949.00,2016年,,安卓（Android）,其他,Qualcomm 骁龙,,,,其它,,,其它,"1920×1080(FHD,1080P)",1600万像素,400万像素,http://item.jd.com/10136454797.html,小米(MI) 小米5 全网通4G手机 双卡双待 白色 尊享版(4G RAM+128G ROM)标配,佳沪数码手机旗舰店,1652
小米（MI）,HONGMI3,799.00,2016年,1月,安卓（Android）,Android ,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10213150173.html,小米3  红米3 手机 时尚金色 移动4G版(2G RAM+16G ROM)标配,佳沪数码手机旗舰店,4627
小米（MI）,MI,849.00,2016年,,,其他,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10111241383.html,小米3 红米3 手机 时尚金色 全网通(2G RAM+16G ROM)标配,中恒国信手机旗舰店,8446
小米（MI）,3,799.00,2016年,1月,安卓（Android）,Android ,Qualcomm 骁龙,,八核,,其它,,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10207490201.html,小米（MI）红米3 4G手机 双卡双待 时尚银白 移动4G版((2G RAM+16G ROM)标配,河北启迪手机专营店,5350
小米（MI）,Note3,999.00,2015年,11月,安卓（Android）,Android ,其他,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",其他,500万像素,http://item.jd.com/10049010499.html,小米（MI）红米Note3 4G手机 双卡双待 金色 移动联通双4G(2G RAM+16G ROM)标配,河北启迪手机专营店,16040
小米（MI）,小米note,1599.00,2015年,,安卓（Android）,MIUI 6系统，支持Android 4.4,Qualcomm 骁龙,骁龙801,四核,,16GB ROM,3GB RAM,,5.7英寸,1920×1080,1300万像素,400万像素,http://item.jd.com/2524875.html,小米Note 全网通 电信合约版 白色 移动联通电信4G手机 双卡双待 不含合约计划,,403
小米（MI）,note3,999.00,2015年,11月,安卓（Android）,Android ,其他,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10078327904.html,小米 红米note3 双卡双待手机 金色 公开标准版(2G RAM+16G ROM)标配,新松联手机专营店,7108
小米（MI）,MI4c,1339.00,2015年,,安卓（Android）,Android ,Qualcomm 骁龙,,,,其它,,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10057368516.html,小米（MI）4C  双卡双待手机 白色 全网通高配版(3G RAM+32G),爱优创杰手机专营店,234
,XIAOMI5,2999.00,2016年,,安卓（Android）,Android ,Qualcomm 骁龙,,,,128GB ROM,4GB RAM,,5.1英寸,"1920×1080(FHD,1080P)",1600万像素,400万像素,http://item.jd.com/10148977682.html,小米（MI）小米5 全网通4G 手机 白色 尊享版 (4GRAM+128GROM)标配,中恒国信手机旗舰店,1002
小米（MI）,小米手机 5,1999.00,2016年,,,MIUI,Qualcomm 骁龙,骁龙820,,,32GB ROM,3GB RAM,,5.15英寸,1920 x 1080 分辨率,1600万像素,400万像素,http://item.jd.com/2423882.html,【联通赠费版】小米 5 全网通标准版 3GB内存 32GB ROM 白色 移动联通电信4G手机,,363
小米（MI）,小米手机 5,2299.00,2016年,,,MIUI,Qualcomm 骁龙,骁龙820,,,64GB ROM,3GB RAM,,5.15英寸,1920 x 1080 分辨率,1600万像素,400万像素,http://item.jd.com/2424999.html,【联通赠费版】小米 5 全网通高配版 3GB内存 64GB ROM 白色 移动联通电信4G手机,,111
小米（MI）,hongminote3,1199.00,2015年,11月,安卓（Android）,Android ,其他,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",其他,500万像素,http://item.jd.com/10048777916.html,小米(MI) 红米note3 4G手机 双卡双待 金色 双网通 高配版(3G RAM+32G ROM),能良数码旗舰店,5007
小米（MI）,小米Max,1499.00,2016年,5月,,MIUI,Qualcomm 骁龙,骁龙650,六核,Adreno 510 600MHz,32GB ROM,3GB RAM,128GB,6.44英寸,"1920×1080(FHD,1080P)",1600万像素,500万像素,http://item.jd.com/2798413.html,【移动用户购机送费】小米 Max 全网通 标准版 3GB内存 32GB ROM 金色 移动联通电信4G手机,,28
小米（MI）,小米Max,1499.00,2016年,5月,,MIUI,Qualcomm 骁龙,骁龙650,六核,Adreno 510 600MHz,32GB ROM,3GB RAM,128GB,6.44英寸,"1920×1080(FHD,1080P)",1600万像素,500万像素,http://item.jd.com/2916478.html,【电信赠费版】小米 Max 全网通 标准版 3GB内存 32GB ROM 金色 移动联通电信4G手机,,59
小米（MI）,小米手机 5,2299.00,2016年,,,MIUI,Qualcomm 骁龙,骁龙820,,,64GB ROM,3GB RAM,,5.15英寸,1920 x 1080 分辨率,1600万像素,400万像素,http://item.jd.com/2432801.html,【北京移动购机赠费】小米5 全网通 高配版 3GB内存 64GB ROM 白色 移动联通电信4G手机,北京移动旗舰店,61
小米（MI）,小米手机 5,1999.00,2016年,,,MIUI,Qualcomm 骁龙,骁龙820,,,32GB ROM,3GB RAM,,5.15英寸,1920 x 1080 分辨率,1600万像素,400万像素,http://item.jd.com/2424997.html,【电信赠费版】小米 5 全网通标准版 3GB内存 32GB ROM 白色 移动联通电信4G手机,,262
小米（MI）,M3,799.00,2016年,1月,,其他,Qualcomm 骁龙,,八核,,其它,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10111913744.html,小米 红米3 双卡双待4G手机 时尚金色 移动4G(16GB ROM)更新固件支持双4G,牧申数码专营店,1429
小米（MI）,4C,1399.00,2015年,9月,,Android ,Qualcomm 骁龙,,,,其它,,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10078659938.html,小米4C 移动联通电信4G 双卡双待手机 白色 全网通高配版(3G RAM+32G ROM) 标配,新松联手机专营店,273
小米（MI）,hongmi3,1039.00,2016年,1月,安卓（Android）,Android ,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10259897096.html,小米(MI) 红米3 4G手机 双卡双待 时尚金色(指纹版) 高配版 全网通(3G RAM+32G ROM)标配,能良数码旗舰店,2028
小米（MI）,2,599.00,2015年,,,Android ,Qualcomm 骁龙,,,,其它,,32GB,4.7英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10163638187.html,小米（MI）红米2 双卡双待4G手机 白色 联通4G增强版(2GRAM+16GROM),牧申数码专营店,706
小米（MI）,note3,1199.00,2015年,,,Android ,其他,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10051718325.html,小米（MI）红米note3 4G手机 双卡双待 金色 双网通高配版(3G RAM+32G ROM)标配,牧申数码专营店,6232
小米（MI）,note3,1199.00,2015年,11月,安卓（Android）,Android ,其他,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",其他,500万像素,http://item.jd.com/10117079466.html,小米 红米note3 4G智能手机 双卡双待 金色 高配双网通(3G RAM+32G ROM),鹏路网络手机专营店,1312
小米（MI）,4C,1338.00,2015年,,,Android ,Qualcomm 骁龙,,,,其它,,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10038289735.html,小米（MI）小米4C   双卡双待4G手机 灰色 全网通高配版(3G RAM+32G ROM) 标配,牧申数码专营店,336
小米（MI）,NOTE3,999.00,2015年,,安卓（Android）,Android ,其他,,,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",其他,500万像素,http://item.jd.com/10052711186.html,小米（MI）红米Note3 双卡双待手机 金色 双网通(2G RAM+16G ROM)标准版标配,爱优创杰手机专营店,2538
小米（MI）,xiaominote,1999.00,2015年,,,Android ,Qualcomm 骁龙,,八核,,64GB ROM,4GB RAM,,5.7英寸,2560×1440（2K）,1300万像素,400万像素,http://item.jd.com/1693326822.html,小米（MI）小米Note 顶配版（64G ROM）  双卡双待手机 香槟金 移动/联通4G,能良数码旗舰店,404
,XIAOMI4S,1999.00,2016年,,,其他,Qualcomm 骁龙,,,,64GB ROM,3GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1957483655.html,全球购 亚太版 小米4S 移动 电信 联通 全网通 双卡双待4G智能手机 金色 3GB+64GB 高配 质保180天只换新+官方保修半年,GIT通讯数码旗舰店,148
