品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
,V5,79.00,2014年,,,无,其他,,,,无,,,1.8英寸,160*128,30万像素,不支持,http://item.jd.com/1618762407.html,纽曼 （Newman） V5 移动/联通2G直板老人手机 金色,天探手机专营店,1162
,S2,399.00,2015年,,安卓（Android）,其他,联发科（MTK),,,,8GB ROM,1GB RAM,32GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10326943667.html,纽曼（Newman）小纽扣S2 移动4G 智能手机 白色,纽曼异维专卖店,8
,C5,99.00,2015年,12月,,其他,其他,,,,其它,,8GB,1.8英寸,160*128,不支持,不支持,http://item.jd.com/10201110288.html,纽曼（Newman）C5 电信2G老年人手机 红色,天探手机专营店,43
纽曼（Newsmy）,K3,499.00,2016年,4月,,YunOS,联发科（MTK),,,,8GB ROM,1GB RAM,,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10325736929.html,纽曼(Newman)小熊猫K3-S 移动联通双4G智能手机 金色,优爱特手机专营店,8
,V18,198.00,2016年,,,其他,其他,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10111761825.html,纽曼 （Newman）V18 移动/联通2G  双卡双待 三防直板老人手机 橙色,纽曼异维专卖店,304
纽曼（Newsmy）,C5,99.00,2016年,,,无,其他,,,,128MB ROM,32MB RAM,,1.77英寸,160*128,不支持,不支持,http://item.jd.com/10214306509.html,纽曼（Newman）C5 电信2G 老人功能手机 直板手机 黑色,多如意数码专营店,172
纽曼（Newsmy）,V9,198.00,2014年,,,无,其他,,,,无,,2GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1457095995.html,纽曼 （Newman）V9 移动/联通2G 翻盖老人手机 黑金,尚亿汇通手机数码专营店,1052
,F516,268.00,2015年,11月,,无,其他,,,,无,,,2.8英寸,其它,其他,不支持,http://item.jd.com/10015644658.html,纽曼F516 电信翻盖老人手机CDMA功能机键盘老人机大字体大按键大声音 红色,名宣手机专营店,221
,S2,399.00,2015年,,,其他,其他,,,,8GB ROM,1GB RAM,8GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10108363092.html,纽曼 （Newman） S2 移动4G 智能手机 黑色,吉家祥园手机专营店,46
,W2018,356.00,2016年,,,其他,其他,,,,32MB,,16GB,3.5英寸,320*480,130万以下 ,不支持,http://item.jd.com/10285596519.html,纽曼（Newman）W2018移动/联通2G 双屏翻盖老人手机 双卡双待 蓝金色 官方标配版,易为理想手机专营店,3
,C5,99.00,2016年,,,其他,其他,,,,128MB ROM,,,1.77英寸,其它,不支持,不支持,http://item.jd.com/10285200008.html,纽曼（Newman）C5 电信2G 老人功能手机 直板手机 黑色 电信版,卓瓦手机专营店,29
,L8,279.00,2015年,10月,,其他,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10114512838.html,纽曼 L8 三防老人手机 迷彩色 电信-单卡版,天探手机专营店,74
,s2,399.00,2016年,,,Android 4.4,联发科（MTK),,,,8GB ROM,1GB RAM,,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10204051794.html,纽曼 （Newman） S2 移动4G 智能手机 金色,建业盛林专营店,13
纽曼（Newsmy）,V5,79.00,2015年,1月,,其他,其他,,,,32MB,32MB RAM,,1.8英寸,240*320,30万像素,不支持,http://item.jd.com/10103382703.html,纽曼（Newman）V5 移动/联通2G 直板老人手机 金色,多如意数码专营店,498
,C5,99.00,2016年,,,其他,其他,,,,无,,8GB,1.77英寸,160*128,不支持,不支持,http://item.jd.com/10324120591.html,纽曼（Newman）C5 电信2G 老人手机 蓝色 电信版,思创伟业手机专营店,13
纽曼（Newsmy）,Cm810,799.00,2015年,,安卓（Android）,YunOS,Qualcomm 骁龙,MSM8939,八核,,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1616882223.html,纽曼 纽扣 CM810 移动联通 双卡双待 双4G 智能 手机 （16G ROM） 白色 标配版,中恒国信手机旗舰店,889
,V6,199.00,2015年,,,其他,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10060478252.html,纽曼(Newman)V6 移动/联通/电信2G 翻盖老人手机 浅蓝色,纽曼异维专卖店,129
纽曼（Newsmy）,,168.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10131510541.html,纽曼C360电信老人机 天翼2G直板按键老人手机 金色,天探手机专营店,39
纽曼（Newsmy）,,198.00,2015年,1月,,无,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1533974065.html,纽曼(Newman) V9 移动/联通2G翻盖老人手机 双卡双待 红色,优星伟业手机专营店,619
纽曼（Newsmy）,M560,139.00,2015年,,,其他,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1816688161.html,纽曼 （Newman）M560 移动/联通2G老人手机 双卡双待 白,尚亿汇通手机数码专营店,427
纽曼（Newsmy）,F516,268.00,2015年,,,无,其他,,,,其它,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10093373670.html,纽曼F516 电信2G翻盖老人手机 红色,优爱特手机专营店,8
,V18,198.00,2016年,1月,,无,其他,,,,32MB,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10230085848.html,纽曼 （Newman）V18 移动/联通2G 三防直板老人手机 橙色,致诚信达手机专营店,23
纽曼（Newsmy）,D1,198.00,2016年,2月,,其他,联发科（MTK),,,,32MB,64MB RAM,,1.54 英寸,128×128,不支持,不支持,http://item.jd.com/10125906282.html,纽曼（Newman）D1 移动/联通2G 卡片手机 白色,诚信精品惠手机专营店,61
