品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
海尔（Haier）,M316,399.00,2015年,7月,,无,联发科（MTK),,,,其它,64MB RAM,8GB,4英寸以下,320*480,30万像素,不支持,http://item.jd.com/1764502409.html,海尔M316移动联通2G翻盖男款老人手机 双卡双待老年机大屏大声大按键 钢琴黑 钢琴黑,半夏数码专营店,791
海尔（Haier）,M317,228.00,2015年,,,其他,其他,,,,32MB,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10248890556.html,海尔M317移动/联通2G老人手机直板按键大字大声老年 香槟金,东盛海格手机专营店,17
海尔（Haier）,C101,199.00,2016年,4月,,其他,其他,,,,其它,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10279998914.html,海尔 (Haier) C101 电信老人2G 老人手机 玫瑰金色,海尔手机旗舰店,20
海尔（Haier）,512,168.00,2015年,3月,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1560911288.html,海尔HG-M512 老人手机 移动/联通2G 双卡双待 炫彩金,海尔手机旗舰店,270
海尔（Haier）,M512,168.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/1561052336.html,海尔HG-M512 老人手机 移动/联通2G 双卡双待 炫彩金,吉家祥园手机专营店,2642
海尔（Haier）,M355L,119.00,2015年,,,无,其他,,,,无,,4GB,1.77英寸,240*320,30万像素,不支持,http://item.jd.com/10100530540.html,海尔M351L 老人手机 移动联通2G 双卡双待 香槟金,吉家祥园手机专营店,236
,M352,259.00,2015年,11月,,其他,展讯,,单核,,32MB,32MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10048637990.html,海尔M352L 移动/联通2G 翻盖老人手机 星光银,吉家祥园手机专营店,207
,M318,198.00,2015年,8月,,其他,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10093749251.html,海尔 (Haier) M318 移动/联通 老人女性手机 蓝色,天探手机专营店,213
海尔（Haier）,M316,399.00,2015年,7月,,其他,联发科（MTK),,,,256MB ROM,64MB RAM,,4.0英寸,320*480,30万像素,不支持,http://item.jd.com/10164954610.html,海尔M316 移动联通2G 翻盖老人手机 双卡双待 钢琴黑,海纳手机专营店,20
海尔（Haier）,M312,199.00,2015年,,,无,其他,,,,无,,8GB,4英寸以下,240*320以下,不支持,不支持,http://item.jd.com/1148688883.html,海尔(Haier)M312移动/联通2G卡片儿童手机 手机 珍光白 官方标配,豪泰手机专营店,216
海尔（Haier）,M311,99.00,2015年,,,无,其他,,,,无,,8GB,1.77英寸,240*320,130万以下 ,不支持,http://item.jd.com/1627555511.html,海尔 HG-M311移动/联通2G老人手机 备用功能手机 蓝色,海尔手机旗舰店,469
海尔（Haier）,A310,178.00,2015年,4月,,其他,其他,,,,其它,,,2.5英寸,240*320,30万像素,其它,http://item.jd.com/1733281148.html,海尔 (Haier) HG-A310 移动/联通2G 翻盖老人手机 典雅黑,建业盛林专营店,54
海尔（Haier）,m327V,228.00,2016年,,,无,其他,,,,无,32MB RAM,16GB,2.8英寸,240*320,130万以下 ,不支持,http://item.jd.com/1520705851.html,海尔 M327V 移动/联通2G 老人手机 尊爵黑,海尔手机旗舰店,171
海尔（Haier）,365,229.00,2014年,,,无,其他,,,,无,,8GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1513805661.html,海尔（Haier）HG-M365 移动联通2G老人手机 双卡双待 黑色,海尔手机旗舰店,263
海尔（Haier）,M311,99.00,2015年,6月,,无,其他,,,,无,,8GB,1.77英寸,240*320,8万像素,不支持,http://item.jd.com/1620099055.html,海尔（Haier）M311 老人手机 移动联通2G 双卡双待 炫酷黑,百机汇手机旗舰店,1346
海尔（Haier）,HM355l,268.00,2016年,,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10138117899.html,海尔HM-M355L 移动/联通2G 双卡双待 三防老人手机 绅士黑,海尔手机旗舰店,65
海尔（Haier）,M328v,198.00,2015年,,,其他,其他,,,,32MB,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10172988246.html,海尔M328V 老人手机 移动联通2G 双卡双待 典雅黑,海纳手机专营店,42
,M320,168.00,2015年,7月,,无,其他,,,,其它,,,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1648496805.html,海尔HG-M320  移动/联通2G  老人手机 樽金,建业盛林专营店,592
海尔（Haier）,M365,229.00,2014年,12月,,其他,其他,,,,64MB ROM,64MB RAM,32GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1446564963.html,海尔（Haier）HG-M365  移动联通2G老人手机 双卡双待 炫彩金,建业盛林专营店,736
海尔（Haier）,M312,199.00,2015年,6月,,其他,其他,,,,64MB ROM,,8GB,1.54 英寸,240*320,不支持,不支持,http://item.jd.com/1630382327.html,海尔 (Haier) M312 移动/联通2G智能卡片手机老人机 金色,诚信精品惠手机专营店,275
海尔（Haier）,M315,149.00,2015年,,,无,联发科（MTK),,,,32MB,32MB RAM,,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1774379539.html,海尔 M315老人机手机直板按键功能机女学生老年人手机 金色,东盛海格手机专营店,34
海尔（Haier）,M512,168.00,2015年,6月,,其他,展讯,,,,其它,,8GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/1612112701.html,海尔（Haier）HG-M512 老人手机 移动联通2G 双卡双待 典雅黑,百机汇手机旗舰店,512
海尔（Haier）,M680,198.00,2015年,6月,,无,其他,,,,无,,8GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1680148144.html,海尔HG-M680 移动/联通2G三防老人手机 双卡双待 柠檬黄,亿宏星手机专营店,131
海尔（Haier）,M365,228.00,2014年,12月,,其他,其他,,,,无,,8GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1553590564.html,海尔（Haier）HG-M365 移动/联通2G老人手机 双卡双待 炫彩金,百机汇手机旗舰店,263
海尔（Haier）,328V,198.00,2015年,10月,,其他,其他,,,,无,,16GB,2.4英寸,240*320,130万以下 ,不支持,http://item.jd.com/10201398468.html,海尔 Haier M328V 移动/联通2G 双卡双待 老人手机 白色 老年版,欧霖爵手机专营店,22
海尔（Haier）,I701,999.00,2015年,,,其他,其他,,,,16GB ROM,,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10037374443.html,海尔（Haier）I701  移动/联通双4G 双卡双待 手机 金色,海尔手机旗舰店,10
海尔（Haier）,M311,99.00,2015年,,,无,其他,,,,无,,8GB,1.77英寸,240*320,130万以下 ,不支持,http://item.jd.com/1621748545.html,海尔（Haier）M311 移动/联通2G 迷你老人手机 备用机 柠檬黄,欧霖爵手机专营店,186
