品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
酷派（Coolpad）,9190L,609.00,2014年,,安卓（Android）,Android 4.3,Qualcomm 骁龙,MSM8926,四核,,16GB ROM,2GB RAM,,6.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10071254565.html,酷派 S6 (9190L)  电信4G加密手机 双卡双待双通（16G） 冰海蓝,卓瓦手机专营店,418
,7722,439.00,2016年,,安卓（Android）,Android ,联发科（MTK),MT6735P,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10272247524.html,酷派 7722 移动联通4G 双卡双待手机 白色,天探手机专营店,37
酷派（Coolpad）,8712,288.00,2014年,,安卓（Android）,Android 4.4,其他,,,,4GB ROM,512MB RAM,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/1739473099.html,酷派 8712 移动4G手机 双卡双待 灵动白,佳沪数码手机旗舰店,234
酷派（Coolpad）,Y71711,519.00,2015年,,安卓（Android）,其他,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10033227547.html,酷派锋尚Air Y71-711 移动联通双4G手机 双卡双待 金钻白,优爱特手机专营店,151
,F2,848.00,2015年,,安卓（Android）,Android ,其他,,,,16GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10242567159.html,酷派(Coolpad) 大神F2 4G手机 双卡双待 智尚白 全网通4G(16G ROM),能良数码旗舰店,61
酷派（Coolpad）,8298,639.00,2015年,,安卓（Android）,,联发科（MTK),,四核,,8GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10089865843.html,酷派 8298-A01全魔王全网通4G移动联通电信 双卡双待 智能手机 冰川白,卓瓦手机专营店,85
酷派（Coolpad）,Y71511,499.00,2015年,,安卓（Android）,Android ,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10033504772.html,酷派锋尚Air Y71-511 电信4G手机 双卡双待 金钻白,优爱特手机专营店,141
酷派（Coolpad）,5316,419.00,2014年,,安卓（Android）,Android 4.4,其他,,,,4GB ROM,512MB RAM,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/1643651255.html,酷派 5316 电信4G智能手机 极地白,优爱特手机专营店,212
,S6,619.00,2014年,,,Android 4.3,Qualcomm 骁龙,MSM8626,四核,,16GB ROM,2GB RAM,,其它,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10165418115.html,酷派S6 (9190L) 电信4G手机 双卡双待 蓝色,天探手机专营店,91
酷派（Coolpad）,8105,299.00,2015年,,,Android ,其他,,,,4GB ROM,,,4.5英寸,480×854,500万像素,30万像素,http://item.jd.com/1760371087.html,酷派 8105 移动4G手机 极地白,优爱特手机专营店,395
酷派（Coolpad）,Pro,758.00,2015年,6月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8939,八核,,8GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10168989247.html,酷派锋尚Pro T2-W01 4G手机 双卡双待 金色 移动联通双4G版,佳沪数码手机旗舰店,36
酷派（Coolpad）,F1,539.00,2014年,,,Android ,Qualcomm 骁龙,,四核,,其它,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/10078369373.html,酷派(Coolpad) 大神 F1Plus 双卡双待4G手机 智铂银 移动4G版,牧申数码专营店,139
酷派（Coolpad）,8702D,339.00,2014年,,安卓（Android）,Android 4.4,Marvell,,,,4GB ROM,512MB RAM,,4.5英寸,480×854,500万像素,30万像素,http://item.jd.com/1644870990.html,酷派 8702D 移动4G手机 双卡双待 极地白,优爱特手机专营店,3193
大神,8691,738.00,2015年,1月,,Android 4.4,联发科（MTK),MT6595,八核,,16GB ROM,,32GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/1723039179.html,大神X7 4G双卡双待手机（16G ROM） 移动4G 钛晶白,佳沪数码手机旗舰店,375
酷派（Coolpad）,8971,989.00,2014年,6月,安卓（Android）,其他,Qualcomm 骁龙,,,,32MB,3GB RAM,,5.9英寸,"1920×1080(FHD,1080P)",1300万像素,200万像素,http://item.jd.com/10260896160.html,酷派 大观4（8971）尊享版 白色 移动4G(3G RAM+32G ROM),中恒国信手机旗舰店,16
酷派（Coolpad）,8712,285.00,2014年,,,Android ,其他,,,,其它,512MB RAM,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10072667769.html,酷派(Coolpad) 8712 移动4G手机 双卡双待 白色,牧申数码专营店,101
,5721,533.00,2015年,7月,安卓（Android）,Android 4.4,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10132553266.html,酷派(Coolpad) 5721  双卡双待电信4G智能手机 白色,天探手机专营店,50
,B770,549.00,2016年,,,Android ,Qualcomm 骁龙,MSM8916,四核,,8GB ROM,1GB RAM,,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/2716211.html,酷派 B770 锐志金 移动4G手机 双卡双待,酷派手机旗舰店,23
